node_id,center_lat,center_lon,radius_meters,elephant_count,sighting_count,elephants,active_hours,avg_ndvi,avg_human_distance,protected,land_cover
76,7.812898377875,80.2244094125,363.79708860121184,1,8,['Wira'],"[16, 0, 4]",0.8040499999999999,945.6708262875001,0,10.0
77,7.806069839428572,80.23076996761904,231.29558107366384,1,21,['Wira'],"[0, 4, 12]",0.764742857142857,1192.9981531333335,0,10.0
78,7.793180992833334,80.23163759333333,250.18652594852293,1,6,['Wira'],"[16, 20, 0]",0.79665,1119.8636159666667,0,10.0
79,7.797964032,80.04356815,173.79571536634785,1,3,['Wira'],"[20, 0, 16]",0.7949,224.1619529333333,0,10.0
80,7.782105553400001,80.06302891800001,184.82143446027155,1,5,['Wira'],"[20, 16]",0.8023000000000001,428.96587624000006,0,10.0
81,7.840811185,80.03165396571428,108.65803588233894,1,7,['Wira'],"[4, 8, 12]",0.7887285714285716,763.2466653,0,10.0
82,7.820871744,80.0368160775,242.90032948246386,1,4,['Wira'],"[20, 16]",0.75505,620.36037915,0,10.0
83,7.934866419607142,80.17638667464284,511.6977900378237,2,28,"['Wira', 'Kumari']","[20, 12, 4]",0.579982142857143,1789.2237804642853,1,30.0
84,7.9238897302,80.148096979,353.07741776516747,2,10,"['Wira', 'Kumari']","[4, 12, 20]",0.16764,706.27604139,0,10.0
85,7.95935993075,80.19718140125,280.01685880563696,2,8,"['Wira', 'Kumari']","[20, 4, 12]",0.8966624999999999,721.614714875,0,10.0
86,7.907775426375,80.09688744625001,237.06195370960128,2,8,"['Wira', 'Kumari']","[4, 12, 8]",0.713875,466.374770725,0,10.0
87,7.889299984181818,80.28964832818181,245.67214093350321,1,11,['Madara'],"[12, 20, 4]",0.5302181818181819,976.5431449545454,0,10.0
88,7.9133258945493825,80.3114317065432,1804.4176903061068,2,324,"['Madara', 'Chandi']","[20, 12, 4]",0.6862858024691358,608.6873200985802,0,10.0
89,7.893793746928573,80.32715214000002,495.81682299409437,2,14,"['Madara', 'Chandi']","[20, 16, 12]",0.845914285714286,676.1847706642858,0,10.0
90,7.8792660331,80.35124352960001,904.8038674720593,2,100,"['Madara', 'Chandi']","[12, 20, 4]",0.8008299999999998,569.492306138,0,10.0
91,7.878038149800001,80.338606423,332.8310394022075,2,10,"['Madara', 'Chandi']","[20, 16, 0]",0.8495900000000001,807.63167459,0,10.0
92,7.980241310348407,80.29987118198355,2016.9413715299968,2,973,"['Madara', 'Chandi']","[12, 0, 4]",0.8058552929085304,626.4373016434532,0,10.0
93,7.982392135444444,80.38915064,195.22136948990007,1,9,['Madara'],"[0, 4, 8]",0.8031,338.36624113333335,0,10.0
94,8.00231011076,80.35530179968,1431.012544792551,2,125,"['Madara', 'Chandi']","[12, 4, 8]",0.8579864,1098.1486143056004,0,10.0
95,7.904292090999999,80.33245877833333,199.52717270687663,2,6,"['Madara', 'Chandi']","[20, 0, 4]",0.8423833333333333,526.18096905,0,10.0
96,7.860306201,80.2913612490625,856.5647414987591,1,64,['Madara'],"[4, 12, 20]",0.745509375,735.1386419656251,0,10.0
97,8.023227094510638,80.41368319595745,557.306874646542,2,47,"['Madara', 'Chandi']","[0, 4, 12]",0.8001148936170214,792.9173261042554,0,10.0
98,7.964787624857144,80.45756972142856,446.24868171073234,1,14,['Madara'],"[0, 12, 16]",0.7942142857142855,861.0031103785714,1,10.0
99,7.953559904166666,80.46917555666667,246.3622491509133,1,6,['Madara'],"[8, 12, 20]",0.8664666666666666,773.2942330333335,1,10.0
100,8.0117207368,80.335402502,310.9554290971119,2,5,"['Madara', 'Chandi']","[4, 8, 12]",0.8251,685.05051724,0,10.0
101,8.028803851833333,80.35813765166667,196.03269908741808,2,6,"['Madara', 'Chandi']","[20, 0, 16]",0.7416,461.5459186666667,0,40.0
102,8.024487550909091,80.34626006909092,394.4528835399752,1,11,['Madara'],"[4, 8, 12]",0.812390909090909,959.3086924272727,0,10.0
103,7.988343874272727,80.32833786,314.99395299224904,1,11,['Madara'],"[0, 4, 8]",0.8062363636363635,326.0862560145455,0,10.0
104,7.991945063,80.31887686,197.98406310805436,1,5,['Madara'],"[20, 0, 8]",0.8336,787.7793802599999,0,40.0
105,8.114560643765602,81.17530207656011,2277.853698605118,2,657,"['Soma', 'Chandi']","[20, 16, 0]",0.5280203957382039,3756.146566483379,1,10.0
106,8.094504162000002,81.141485585,220.0963200790853,1,6,['Soma'],"[4, 8]",0.7936,5513.817701,1,10.0
107,8.104198191166667,81.13620704666666,419.7212541515601,1,12,['Soma'],"[0, 20, 16]",0.6333000000000001,5608.884931166666,1,10.0
108,8.119212349,81.21880529666667,242.37788118013327,1,6,['Soma'],"[12, 20]",0.7129,2249.9501305,1,30.0
109,8.070479262949998,81.18645334499999,654.5421451391624,1,20,['Soma'],"[16, 20, 0]",0.6870550000000001,2448.340194,1,30.0
110,8.158111967600002,81.198182541,313.80223419690134,2,10,"['Soma', 'Chandi']","[16, 12, 0]",0.74914,1838.4922821,1,30.0
111,8.090760302333335,81.23959007333333,317.4555508805351,1,6,['Soma'],"[20, 0, 4]",0.8065833333333332,3092.8671524999995,0,10.0
112,8.150317425599999,81.207426238,197.0883439746031,1,5,['Soma'],"[20, 12, 16]",0.6708399999999999,2079.2804254,1,10.0
113,8.0893108464,81.193676852,195.846359125348,1,5,['Soma'],"[16, 8, 0]",0.71828,2848.5381124,1,10.0
