corridor_id,from_node,to_node,distance_meters,usage_count,crossing_count,active_hours,bidirectional,safety_score,avg_human_distance
34-36,34,36,4174.254783894313,1,2,[0],True,80.60053254012887,2950.066567516108
31-38,31,38,16720.0072213253,1,1,[0],True,88.95122990711688,3993.90373838961
31-43,31,43,2324.225525916185,1,1,[20],True,85.48890501797402,3561.1131272467533
155-158,155,158,2666.38656976063,1,1,[4],True,76.80074902039999,2475.09362755
32-39,32,39,1737.1913001740477,1,2,[16],True,65.48482168339285,1060.6027104241073
32-35,32,35,4678.2873835712735,1,1,[20],True,72.78869725994286,1973.5871574928574
44-45,44,45,1934.1611323329344,1,5,"[12, 20, 0]",True,68.47587704387703,1434.4846304846296
45-46,45,46,5926.435538711906,1,1,[12],True,65.75162084042327,1093.9526050529087
44-46,44,46,4520.641139044193,1,14,"[12, 16, 20, 0, 4]",True,69.13686495128698,1517.1081189108718
46-47,46,47,5612.450466171537,1,6,"[16, 20, 12, 0]",True,51.32439273451661,1165.5490918145756
48-49,48,49,11828.941048024757,1,17,"[20, 12, 16]",True,64.94436281395622,2868.0453517445276
49-51,49,51,3246.3606377173205,1,2,"[0, 16]",True,52.76164352315917,3220.2054403948964
12-51,12,51,1959.1842313520951,1,2,"[12, 8]",True,49.03940394951489,2754.9254936893617
12-49,12,49,4731.805997274208,1,2,"[4, 16]",True,46.004962796674064,2375.6203495842583
49-50,49,50,4637.097404684428,1,4,"[12, 20]",True,50.785215585159165,2973.151948144896
48-52,48,52,4511.147676098035,1,4,"[16, 8, 12]",True,79.72202671079705,2840.2533388496313
54-55,54,55,5254.521201035844,1,8,"[20, 12, 16, 8]",True,35.37483504923299,1046.854381154124
55-56,55,56,1857.8915566047076,1,3,"[12, 16]",True,36.10977799736568,1138.7222496707109
56-57,56,57,2924.9557753504787,1,1,[12],True,34.333979166822,916.7473958527501
57-58,57,58,1585.7602164005266,1,6,"[12, 20]",True,34.756444665632,969.555583204
58-59,58,59,1355.5548838010402,1,2,"[8, 12]",True,33.05407383261,756.7592290762499
57-60,57,60,5356.187508047424,1,1,[12],True,33.41893844341867,802.3673054273333
60-73,60,73,1292.6148449581951,1,1,[12],True,33.19840564301333,774.8007053766667
54-73,54,73,15122.666203629982,1,2,[20],True,33.37850341828397,797.3129272854965
54-61,54,61,2816.861554728044,1,5,"[12, 16, 0]",True,33.6548043489673,831.8505436209131
54-62,54,62,6715.465890877622,1,5,"[20, 16, 12]",True,32.330289981922924,666.2862477403653
53-64,53,64,2564.743401174217,1,3,"[12, 16]",True,31.34346253326959,542.9328166586987
54-64,54,64,3809.1305639828597,1,3,[20],True,31.359700353377306,544.9625441721631
54-66,54,66,3328.961328598253,1,4,"[20, 0, 12]",True,32.87429967797024,734.2874597462807
66-67,66,67,2389.3474117915225,1,2,[12],True,31.47997081680294,559.9963521003676
62-67,62,67,2408.3891328523387,1,3,"[12, 0]",True,30.935961120755618,491.9951400944522
62-68,62,68,3577.587832222365,1,2,"[16, 12]",True,32.65257052818562,706.5713160232021
53-68,53,68,4492.9163533632045,1,1,[20],True,33.07761803178959,759.7022539736986
54-82,54,82,3981.053886838939,1,7,"[16, 20, 12]",True,32.36722916941731,670.9036461771631
54-69,54,69,7220.958943998665,1,2,[20],True,32.53524553349317,691.9056916866458
55-69,55,69,4295.911865304085,1,1,[12],True,35.13850527709155,1017.3131596364435
55-57,55,57,4703.428615618671,1,1,[12],True,36.202295962287685,1150.2869952859608
57-59,57,59,2391.384920338259,1,1,[20],True,32.724126298722,715.51578734025
55-59,55,59,4189.970444516477,1,1,[4],True,34.499925129265684,937.4906411582108
65-70,65,70,2089.3623041078235,1,2,"[12, 16]",True,31.46540794064515,558.175992580644
69-70,69,70,1254.0917550460981,1,3,"[12, 16]",True,31.517059888509195,564.6324860636494
69-71,69,71,18613.063004491167,1,1,[20],True,47.61767605063041,702.2095063288009
71-72,71,72,1221.1331212780017,1,7,"[12, 20, 8, 16]",True,48.259787852125974,782.4734815157467
53-72,53,72,22454.56079407505,1,1,[16],True,33.161119514881015,770.1399393601273
73-74,73,74,2450.637009061259,1,1,[12],True,33.561873529555555,820.2341911944444
74-75,74,75,1362.424140931034,1,1,[12],True,34.25459080088889,906.8238501111111
75-76,75,76,3437.1053837073273,1,1,[12],True,34.96811634195,996.0145427437501
76-77,76,77,1033.2075396478663,1,4,"[12, 16, 20]",True,35.55467591768333,1069.3344897104168
77-78,77,78,1436.3581875222933,1,2,[12],True,36.2514470764,1156.43088455
60-76,60,76,2893.678905956009,1,1,[16],True,33.48837318269667,811.0466478370834
56-60,56,60,8231.236333683462,1,1,[16],True,33.326420478496665,790.8025598120832
54-80,54,80,3517.752754856107,1,5,"[20, 12]",True,31.601651157777304,575.2063947221632
67-79,67,79,1349.7841919393945,1,1,[16],True,29.388106603383335,298.51332542291664
66-79,66,79,1052.7573068536806,1,3,"[0, 12, 16]",True,30.885159836886274,485.6449796107842
66-80,66,80,1727.9809741011165,1,1,[12],True,31.70437553011294,588.0469412641175
55-70,55,70,3152.308194399706,1,1,[12],True,34.35664940424902,919.5811755311274
63-69,63,69,2541.0798530979105,1,1,[16],True,33.109495207436645,763.6869009295808
68-81,68,81,965.3055158885646,1,3,"[16, 12, 0]",True,33.26105486028,782.631857535
53-81,53,81,3529.524781787292,1,1,[12],True,32.92253649390959,740.3170617386986
53-69,53,69,4964.697651805218,1,1,[12],True,32.51900771338545,689.8759641731814
61-69,61,69,8804.30907754107,1,1,[4],True,33.418474576825865,802.3093221032327
56-71,56,71,20343.562938401752,1,1,[16],True,48.588948770904544,823.6185963630681
71-83,71,83,9058.364888365339,1,1,[12],True,67.12511329181169,1265.6391614764607
53-82,53,82,5068.58003907131,1,1,[12],True,32.35099134930959,668.8739186636986
53-84,53,84,12323.706752576665,1,1,[20],True,32.69465399826959,711.8317497836987
71-147,71,147,7430.348483716737,1,1,[16],True,64.94060648928789,992.5758111609849
71-85,71,85,6438.266014047682,1,1,[12],True,47.85467702945455,731.8346286818182
84-85,84,85,6691.51817532209,1,1,[16],True,32.71156302506,713.9453781325001
84-86,84,86,5917.774184483428,1,1,[20],True,31.69060324846,586.3254060575
87-88,87,88,3590.7403757608495,1,3,"[12, 16]",True,33.340921860212504,792.6152325265627
90-92,90,92,12572.8446135816,1,1,[20],True,31.783718431125813,597.9648038907267
92-93,92,93,9834.1683262245,1,1,[16],True,30.859214171107148,482.4017713883933
93-94,93,94,4335.632310991182,1,1,[20],True,32.74605942175574,718.2574277194669
92-95,92,95,9176.081313179531,1,3,[20],True,31.610473082773815,576.3091353467266
88-96,88,96,6296.349876881044,1,2,[16],True,32.37530384825682,671.9129810321026
